"Background_t123"	"Background_t21"	"Alternate_t123"	"Alternate_t23"	"Variable"	"File"	"Windows"	"Model"	"Mean"	"SD"	"SE"	"t.mean.diff"	"t.p.two.tailed"	"t.p.background.higher"	"t.p.background.lower"	"w.mean.diff"	"w.p.two.tailed"	"w.p.background.higher"	"w.p.background.lower"	"ModelType"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P2_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"Real_Background"	0.0137315919753086	0.00634777744644468	6.69114493687089e-05	"-0.00741506913580247"	"2.30746226733603e-139"	"1"	"1.15373113366802e-139"	"-0.00695859768044235"	"1.18290904300997e-246"	"1"	"5.91454521504985e-247"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P2_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"Real_Outlier"	0.0211466611111111	0.00779959843624016	0.000246644958932065	"-0.00741506913580247"	"2.30746226733603e-139"	"1"	"1.15373113366802e-139"	"-0.00695859768044235"	"1.18290904300997e-246"	"1"	"5.91454521504985e-247"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"Real_Background"	0.0177114938271605	0.00751170540889738	7.91803273477405e-05	"-0.00362485061728395"	"1.05753841917527e-37"	"1"	"5.28769209587637e-38"	"-0.00342671711028018"	"7.89558877159869e-69"	"1"	"3.94779438579935e-69"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"Real_Outlier"	0.0213363444444444	0.00825096763229713	0.000260918506183856	"-0.00362485061728395"	"1.05753841917527e-37"	"1"	"5.28769209587637e-38"	"-0.00342671711028018"	"7.89558877159869e-69"	"1"	"3.94779438579935e-69"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P2P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"Real_Background"	0.0177711845679012	0.00765701324217829	8.07120063978462e-05	"0.000320323456790124"	"0.186678666809461"	"0.0933393334047307"	"0.906660666595269"	"0.00015594021231636"	"0.393474622751638"	"0.196737311375819"	"0.803265889242766"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P2P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"Real_Outlier"	0.0174508611111111	0.00722967475011962	0.000228622389525867	"0.000320323456790124"	"0.186678666809461"	"0.0933393334047307"	"0.906660666595269"	"0.00015594021231636"	"0.393474622751638"	"0.196737311375819"	"0.803265889242766"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P2_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"D_Background"	0.0141694712933131	0.00649626765483143	6.84728696551742e-05	"-0.00303931527102903"	"3.3326199720637e-23"	"1"	"1.66630998603185e-23"	"-0.00226333647303791"	"2.09914359806989e-25"	"1"	"1.04957179903495e-25"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P2_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"D_Outlier"	0.0172087865643421	0.0092149947452232	0.000291549531441529	"-0.00303931527102903"	"3.3326199720637e-23"	"1"	"1.66630998603185e-23"	"-0.00226333647303791"	"2.09914359806989e-25"	"1"	"1.04957179903495e-25"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"D_Background"	0.0176051259736572	0.00722846608592422	7.61904900485784e-05	"-0.0046932223746911"	"3.32208020416879e-44"	"1"	"1.66104010208439e-44"	"-0.00376194237223356"	"1.64136271483848e-64"	"1"	"8.20681357419241e-65"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"D_Outlier"	0.0222983483483483	0.00988655272190394	0.000312796685547459	"-0.0046932223746911"	"3.32208020416879e-44"	"1"	"1.66104010208439e-44"	"-0.00376194237223356"	"1.64136271483848e-64"	"1"	"8.20681357419241e-65"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P2P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"D_Background"	0.0180222944364206	0.00763641421587404	8.04904020307074e-05	"0.0028342563983826"	"3.40789193649541e-32"	"1.70394596824771e-32"	"1"	"0.00260400331535272"	"7.98061924246503e-55"	"3.99030962123251e-55"	"1"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P2P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"D_Outlier"	0.015188038038038	0.00692513874842674	0.00021910169382549	"0.0028342563983826"	"3.40789193649541e-32"	"1.70394596824771e-32"	"1"	"0.00260400331535272"	"7.98061924246503e-55"	"3.99030962123251e-55"	"1"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P2_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"mfD0_Background"	0.0136494808641975	0.00614836145114861	6.48094202120256e-05	"-0.00823618024691358"	"8.09897289987973e-145"	"1"	"4.04948644993986e-145"	"-0.00752803863449011"	"9.63420778857603e-257"	"1"	"4.81710389428802e-257"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P2_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"mfD0_Outlier"	0.0218856611111111	0.00846777478428784	0.000267774550316905	"-0.00823618024691358"	"8.09897289987973e-145"	"1"	"4.04948644993986e-145"	"-0.00752803863449011"	"9.63420778857603e-257"	"1"	"4.81710389428802e-257"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"mfD0_Background"	0.0173991240740741	0.00715735532583548	7.54451495092557e-05	"-0.00674854814814815"	"8.3913449767332e-92"	"1"	"4.1956724883666e-92"	"-0.00602426780841454"	"2.22149831066925e-164"	"1"	"1.11074915533463e-164"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"mfD0_Outlier"	0.0241476722222222	0.0092579545284266	0.000292762227840981	"-0.00674854814814815"	"8.3913449767332e-92"	"1"	"4.1956724883666e-92"	"-0.00602426780841454"	"2.22149831066925e-164"	"1"	"1.11074915533463e-164"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P2P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"mfD0_Background"	0.0181368567901235	0.00772062121932868	8.13824933483501e-05	"0.00397704567901234"	"7.03731126989453e-86"	"3.51865563494727e-86"	"1"	"0.00317422507588892"	"1.37586877687965e-87"	"6.87934388439827e-88"	"1"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P2P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"mfD0_Outlier"	0.0141598111111111	0.00541295560083474	0.00017117268572003	"0.00397704567901234"	"7.03731126989453e-86"	"3.51865563494727e-86"	"1"	"0.00317422507588892"	"1.37586877687965e-87"	"6.87934388439827e-88"	"1"	"Ancestral structure"
"0.4"	"0.2"	"0.8"	"0.4"	"P1P2_dxy"	"Alternate_t123-0.8_t23-0.4.Background_t123-0.4_t21-0.2.10000.csv"	10000	"Real_Background"	0.0137907030864198	0.00634590232776413	6.68916838823301e-05	"-0.0119805969135803"	"2.06263661631472e-217"	"1"	"1.03131830815736e-217"	"-0.010876386184038"	"0"	"1"	"0"	"Ancestral structure"
