"Background_t123"	"Background_t21"	"Alternate_t123"	"Alternate_t23"	"File"	"Windows"	"Stat"	"Stat.Mean"	"Stat.SD"	"Dpos"	"DposAlternate"	"DposOutlier"	"OutlierAlternate"	"OutlierAlternatePC"	"ModelType"
"0.4"	"0.2"	"0.6"	"0.4"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"D"	4.3991697932432	48.3604952639147	5314	813	1000	340	34	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fGD0"	Inf	NA	5314	813	1000	397	39.7	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fhomD0"	20.9298602970662	27.959281556503	5314	813	1000	413	41.3	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fdD0"	14.0384526304253	13.6459071711167	5314	813	1000	371	37.1	"Ancestral structure"
"0.4"	"0.2"	"0.8"	"0.4"	"Alternate_t123-0.8_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"D"	6.81815531982905	49.8959259549254	5436	935	1000	525	52.5	"Ancestral structure"
"0.4"	"0.2"	"0.8"	"0.4"	"Alternate_t123-0.8_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fGD0"	Inf	NA	5436	935	1000	534	53.4	"Ancestral structure"
"0.4"	"0.2"	"0.8"	"0.4"	"Alternate_t123-0.8_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fhomD0"	23.031743752316	29.2704078426581	5436	935	1000	571	57.1	"Ancestral structure"
"0.4"	"0.2"	"0.8"	"0.4"	"Alternate_t123-0.8_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fdD0"	15.6115405513227	15.3173676328389	5436	935	1000	547	54.7	"Ancestral structure"
"0.4"	"0.2"	"1.0"	"0.4"	"Alternate_t123-1.0_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"D"	8.08365711976598	51.0184236149468	5480	979	1000	642	64.2	"Ancestral structure"
"0.4"	"0.2"	"1.0"	"0.4"	"Alternate_t123-1.0_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fGD0"	Inf	NA	5480	979	1000	621	62.1	"Ancestral structure"
"0.4"	"0.2"	"1.0"	"0.4"	"Alternate_t123-1.0_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"fhomD0"	24.5238368748157	30.2483012060718	5480	979	1000	681	68.1	"Ancestral structure"
