"Background_t123"	"Background_t21"	"Alternate_t123"	"Alternate_t23"	"File"	"Windows"	"Stat"	"Stat.Mean"	"Stat.SD"	"Dpos"	"DposAlternate"	"DposOutlier"	"OutlierAlternate"	"OutlierAlternatePC"	"ModelType"
"0.4"	"0.2"	"0.6"	"0.4"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"D"	4.10818830312524	57.0859473375481	1309	185	250	90	36	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"mfD0"	17.1904557167082	17.6504318883495	1309	185	250	90	36	"Ancestral structure"
"0.4"	"0.2"	"0.8"	"0.4"	"Alternate_t123-0.8_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"D"	6.55964629044361	57.2067561310926	1352	208	250	121	48.4	"Ancestral structure"
"0.4"	"0.2"	"0.8"	"0.4"	"Alternate_t123-0.8_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"mfD0"	17.9471815594726	18.0772162775357	1352	208	250	95	38	"Ancestral structure"
"0.4"	"0.2"	"1"	"0.4"	"Alternate_t123-1_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"D"	6.68006870088662	58.8966189457684	1354	231	250	152	60.8	"Ancestral structure"
"0.4"	"0.2"	"1"	"0.4"	"Alternate_t123-1_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"mfD0"	19.0239878829934	19.6325099023469	1354	231	250	140	56	"Ancestral structure"
"0.4"	"0.2"	"1.2"	"0.4"	"Alternate_t123-1.2_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"D"	10.6229509822043	58.4222343625495	1424	235	250	165	66	"Ancestral structure"
"0.4"	"0.2"	"1.2"	"0.4"	"Alternate_t123-1.2_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"mfD0"	20.6326516578511	20.7658315316242	1424	235	250	142	56.8	"Ancestral structure"
"0.4"	"0.2"	"1.4"	"0.4"	"Alternate_t123-1.4_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"D"	7.96861092577596	58.9386341963108	1356	238	250	175	70	"Ancestral structure"
"0.4"	"0.2"	"1.4"	"0.4"	"Alternate_t123-1.4_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"mfD0"	21.056014351913	21.6954148675529	1356	238	250	162	64.8	"Ancestral structure"
"0.4"	"0.2"	"1.6"	"0.4"	"Alternate_t123-1.6_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"D"	10.9422858587409	59.5552030946126	1414	249	250	186	74.4	"Ancestral structure"
"0.4"	"0.2"	"1.6"	"0.4"	"Alternate_t123-1.6_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"mfD0"	22.4751398950509	22.9659029394695	1414	249	250	181	72.4	"Ancestral structure"
"0.4"	"0.2"	"1.8"	"0.4"	"Alternate_t123-1.8_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"D"	9.20567892137804	59.9006852498579	1364	247	250	193	77.2	"Ancestral structure"
"0.4"	"0.2"	"1.8"	"0.4"	"Alternate_t123-1.8_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"mfD0"	23.3861692959633	23.4706114059072	1364	247	250	180	72	"Ancestral structure"
"0.4"	"0.2"	"2"	"0.4"	"Alternate_t123-2_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"D"	9.90022663660374	59.8661430208875	1387	248	250	201	80.4	"Ancestral structure"
"0.4"	"0.2"	"2"	"0.4"	"Alternate_t123-2_t23-0.4.Background_t123-0.4_t21-0.2.2500.csv"	2500	"mfD0"	23.846021827217	24.7401815961732	1387	248	250	198	79.2	"Ancestral structure"
"0.6"	"0.2"	"0.8"	"0.6"	"Alternate_t123-0.8_t23-0.6.Background_t123-0.6_t21-0.2.2500.csv"	2500	"D"	4.15003146078719	55.005412629822	1311	180	250	100	40	"Ancestral structure"
"0.6"	"0.2"	"0.8"	"0.6"	"Alternate_t123-0.8_t23-0.6.Background_t123-0.6_t21-0.2.2500.csv"	2500	"mfD0"	11.5516106699069	14.879112361757	1311	180	250	97	38.8	"Ancestral structure"
"0.6"	"0.2"	"1"	"0.6"	"Alternate_t123-1_t23-0.6.Background_t123-0.6_t21-0.2.2500.csv"	2500	"D"	6.8958008175387	54.601819158184	1361	223	250	127	50.8	"Ancestral structure"
"0.6"	"0.2"	"1"	"0.6"	"Alternate_t123-1_t23-0.6.Background_t123-0.6_t21-0.2.2500.csv"	2500	"mfD0"	11.9391098060272	15.1532637633192	1361	223	250	123	49.2	"Ancestral structure"
"0.6"	"0.2"	"1.2"	"0.6"	"Alternate_t123-1.2_t23-0.6.Background_t123-0.6_t21-0.2.2500.csv"	2500	"D"	8.29886103717102	55.6454496405664	1379	228	250	148	59.2	"Ancestral structure"
"0.6"	"0.2"	"1.2"	"0.6"	"Alternate_t123-1.2_t23-0.6.Background_t123-0.6_t21-0.2.2500.csv"	2500	"mfD0"	13.1942334633843	16.925578447576	1379	228	250	147	58.8	"Ancestral structure"
"0.6"	"0.2"	"1.4"	"0.6"	"Alternate_t123-1.4_t23-0.6.Background_t123-0.6_t21-0.2.2500.csv"	2500	"D"	7.28364651549034	56.0891845768565	1343	237	250	176	70.4	"Ancestral structure"
"0.6"	"0.2"	"1.4"	"0.6"	"Alternate_t123-1.4_t23-0.6.Background_t123-0.6_t21-0.2.2500.csv"	2500	"mfD0"	14.0820325642651	18.1380770674909	1343	237	250	169	67.6	"Ancestral structure"
"0.6"	"0.2"	"1.6"	"0.6"	"Alternate_t123-1.6_t23-0.6.Background_t123-0.6_t21-0.2.2500.csv"	2500	"D"	8.20893610218817	56.8125993215405	1359	241	250	185	74	"Ancestral structure"
