"Background_t123"	"Background_t21"	"Alternate_t123"	"Alternate_t23"	"Variable"	"File"	"Windows"	"Model"	"Mean"	"SD"	"SE"	"t.mean.diff"	"t.p.two.tailed"	"t.p.background.higher"	"t.p.background.lower"	"w.mean.diff"	"w.p.two.tailed"	"w.p.background.higher"	"w.p.background.lower"	"ModelType"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P2_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"Real_Background"	0.0139267154320988	0.00456295500465196	4.8097768918548e-05	"-0.00790945679012345"	"8.01529962223637e-245"	"1"	"4.00764981111819e-245"	"-0.00764125523681839"	"0"	"1"	"0"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P2_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"Real_Outlier"	0.0218361722222222	0.00555724374828026	0.000175735477572971	"-0.00790945679012345"	"8.01529962223637e-245"	"1"	"4.00764981111819e-245"	"-0.00764125523681839"	"0"	"1"	"0"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"Real_Background"	0.0177918117283951	0.00502750007226712	5.29945038834174e-05	"-0.00414818827160494"	"7.89991040190838e-99"	"1"	"3.94995520095419e-99"	"-0.0040581452881443"	"9.69474473972432e-123"	"1"	"4.84737236986216e-123"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"Real_Outlier"	0.02194	0.00539419056576248	0.000170579283208017	"-0.00414818827160494"	"7.89991040190838e-99"	"1"	"3.94995520095419e-99"	"-0.0040581452881443"	"9.69474473972432e-123"	"1"	"4.84737236986216e-123"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P2P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"Real_Background"	0.0177921734567901	0.00506558138786371	5.33959161953538e-05	"3.74512345679041e-05"	"0.822553529892766"	"0.411276764946383"	"0.588723235053617"	"-1.09236769847827e-05"	"0.980949909798499"	"0.509529650146041"	"0.490474954899249"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P2P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"Real_Outlier"	0.0177547222222222	0.00500252946281528	0.000158193871645949	"3.74512345679041e-05"	"0.822553529892766"	"0.411276764946383"	"0.588723235053617"	"-1.09236769847827e-05"	"0.980949909798499"	"0.509529650146041"	"0.490474954899249"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P2_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"D_Background"	0.014474837654321	0.00496336756327682	5.23184878818489e-05	"-0.00242823456790123"	"4.82259943002189e-26"	"1"	"2.41129971501094e-26"	"-0.0020767761968627"	"1.80203321053094e-26"	"1"	"9.01016605265471e-27"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P2_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"D_Outlier"	0.0169030722222222	0.00689711477837381	0.000218105919832687	"-0.00242823456790123"	"4.82259943002189e-26"	"1"	"2.41129971501094e-26"	"-0.0020767761968627"	"1.80203321053094e-26"	"1"	"9.01016605265471e-27"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"D_Background"	0.0178936024691358	0.0049797464672409	5.2491136688861e-05	"-0.00313028086419753"	"3.06018422063001e-47"	"1"	"1.53009211031501e-47"	"-0.00286728151437105"	"6.66319227114309e-55"	"1"	"3.33159613557154e-55"	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"P1P3_dxy"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.10000.sg.csv"	10000	"D_Outlier"	0.0210238833333333	0.0063306128546828	0.000200191556055382	"-0.00313028086419753"	"3.06018422063001e-47"	"1"	"1.53009211031501e-47"	"-0.00286728151437105"	"6.66319227114309e-55"	"1"	"3.33159613557154e-55"	"Ancestral structure"
