"Background_t123"	"Background_t21"	"Alternate_t123"	"Alternate_t23"	"File"	"Windows"	"Stat"	"Stat.Mean"	"Stat.SD"	"Dpos"	"DposAlternate"	"DposOutlier"	"OutlierAlternate"	"OutlierAlternatePC"	"ModelType"
"0.4"	"0.2"	"0.6"	"0.4"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"D"	4.75486007330253	59.5856549230741	2665	390	500	154	30.8	"Ancestral structure"
"0.4"	"0.2"	"0.6"	"0.4"	"Alternate_t123-0.6_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"mfD0"	17.4928901043137	17.5707154190367	2665	390	500	144	28.8	"Ancestral structure"
"0.4"	"0.2"	"0.8"	"0.4"	"Alternate_t123-0.8_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"D"	5.98097021086559	60.0404145737003	2679	430	500	227	45.4	"Ancestral structure"
"0.4"	"0.2"	"0.8"	"0.4"	"Alternate_t123-0.8_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"mfD0"	18.0306500704744	18.254719465609	2679	430	500	209	41.8	"Ancestral structure"
"0.4"	"0.2"	"1"	"0.4"	"Alternate_t123-1_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"D"	7.16348364185609	60.2946569727935	2690	455	500	281	56.2	"Ancestral structure"
"0.4"	"0.2"	"1"	"0.4"	"Alternate_t123-1_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"mfD0"	20.0622385092703	20.1522853866429	2690	455	500	282	56.4	"Ancestral structure"
"0.4"	"0.2"	"1.2"	"0.4"	"Alternate_t123-1.2_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"D"	7.33915091186767	61.3221781653609	2711	483	500	318	63.6	"Ancestral structure"
"0.4"	"0.2"	"1.2"	"0.4"	"Alternate_t123-1.2_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"mfD0"	20.532361057761	21.0717348787139	2711	483	500	317	63.4	"Ancestral structure"
"0.4"	"0.2"	"1.4"	"0.4"	"Alternate_t123-1.4_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"D"	9.16227108015902	60.8903062453409	2776	486	500	346	69.2	"Ancestral structure"
"0.4"	"0.2"	"1.4"	"0.4"	"Alternate_t123-1.4_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"mfD0"	21.2748352608267	22.2419208442695	2776	486	500	348	69.6	"Ancestral structure"
"0.4"	"0.2"	"1.6"	"0.4"	"Alternate_t123-1.6_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"D"	9.06492217149319	61.4443520525192	2724	489	500	351	70.2	"Ancestral structure"
"0.4"	"0.2"	"1.6"	"0.4"	"Alternate_t123-1.6_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"mfD0"	22.1518846923311	22.8067819544076	2724	489	500	357	71.4	"Ancestral structure"
"0.4"	"0.2"	"1.8"	"0.4"	"Alternate_t123-1.8_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"D"	9.60867345948677	61.5948560596594	2735	495	500	355	71	"Ancestral structure"
"0.4"	"0.2"	"1.8"	"0.4"	"Alternate_t123-1.8_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"mfD0"	23.2052423958684	23.7657255468951	2735	495	500	363	72.6	"Ancestral structure"
"0.4"	"0.2"	"2"	"0.4"	"Alternate_t123-2_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"D"	8.69313109875631	62.2422013907644	2734	498	500	385	77	"Ancestral structure"
"0.4"	"0.2"	"2"	"0.4"	"Alternate_t123-2_t23-0.4.Background_t123-0.4_t21-0.2.5000.csv"	5000	"mfD0"	23.5079908367264	24.5074900071079	2734	498	500	395	79	"Ancestral structure"
"0.6"	"0.2"	"0.8"	"0.6"	"Alternate_t123-0.8_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"D"	4.77319845177006	57.5545248342209	2645	364	500	178	35.6	"Ancestral structure"
"0.6"	"0.2"	"0.8"	"0.6"	"Alternate_t123-0.8_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"mfD0"	11.1904543445002	14.7058314273003	2645	364	500	186	37.2	"Ancestral structure"
"0.6"	"0.2"	"1"	"0.6"	"Alternate_t123-1_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"D"	6.19014787137286	59.0285522784585	2708	419	500	231	46.2	"Ancestral structure"
"0.6"	"0.2"	"1"	"0.6"	"Alternate_t123-1_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"mfD0"	11.9628265683087	15.3620731178792	2708	419	500	246	49.2	"Ancestral structure"
"0.6"	"0.2"	"1.2"	"0.6"	"Alternate_t123-1.2_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"D"	7.42081464138117	59.7503827623554	2712	447	500	264	52.8	"Ancestral structure"
"0.6"	"0.2"	"1.2"	"0.6"	"Alternate_t123-1.2_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"mfD0"	13.6768845938599	16.712772719609	2712	447	500	272	54.4	"Ancestral structure"
"0.6"	"0.2"	"1.4"	"0.6"	"Alternate_t123-1.4_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"D"	6.97227684841954	60.1003826514093	2695	473	500	330	66	"Ancestral structure"
"0.6"	"0.2"	"1.4"	"0.6"	"Alternate_t123-1.4_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"mfD0"	14.6015092889492	18.578032372133	2695	473	500	335	67	"Ancestral structure"
"0.6"	"0.2"	"1.6"	"0.6"	"Alternate_t123-1.6_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"D"	8.88113449715463	59.7759847731088	2748	481	500	327	65.4	"Ancestral structure"
"0.6"	"0.2"	"1.6"	"0.6"	"Alternate_t123-1.6_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"mfD0"	15.0719703061961	19.0568171317007	2748	481	500	344	68.8	"Ancestral structure"
"0.6"	"0.2"	"1.8"	"0.6"	"Alternate_t123-1.8_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"D"	9.57631431201121	59.7219914393828	2761	484	500	352	70.4	"Ancestral structure"
"0.6"	"0.2"	"1.8"	"0.6"	"Alternate_t123-1.8_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"mfD0"	15.885261137904	20.3140456215052	2761	484	500	373	74.6	"Ancestral structure"
"0.6"	"0.2"	"2"	"0.6"	"Alternate_t123-2_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"D"	8.70051909158607	60.1552556258921	2759	493	500	354	70.8	"Ancestral structure"
"0.6"	"0.2"	"2"	"0.6"	"Alternate_t123-2_t23-0.6.Background_t123-0.6_t21-0.2.5000.csv"	5000	"mfD0"	16.2196771020837	21.2942334930105	2759	493	500	390	78	"Ancestral structure"
"0.6"	"0.4"	"0.4"	"0.2"	"Alternate_t123-0.4_t23-0.2.Background_t123-0.6_t21-0.4.5000.csv"	5000	"D"	3.47129320787724	63.0336459887644	2627	408	500	113	22.6	"gene flow P2-P3"
"0.6"	"0.4"	"0.4"	"0.2"	"Alternate_t123-0.4_t23-0.2.Background_t123-0.6_t21-0.4.5000.csv"	5000	"mfD0"	16.3408889018394	18.5053479009804	2627	408	500	210	42	"gene flow P2-P3"
"0.6"	"0.4"	"0.6"	"0.2"	"Alternate_t123-0.6_t23-0.2.Background_t123-0.6_t21-0.4.5000.csv"	5000	"D"	8.28861327332995	64.1943112183557	2761	471	500	209	41.8	"gene flow P3-P2"
"0.6"	"0.4"	"0.6"	"0.2"	"Alternate_t123-0.6_t23-0.2.Background_t123-0.6_t21-0.4.5000.csv"	5000	"mfD0"	18.3319640378283	20.7964565398175	2761	471	500	293	58.6	"gene flow P3-P2"
"0.6"	"0.4"	"0.8"	"0.6"	"Alternate_t123-0.8_t23-0.6.Background_t123-0.6_t21-0.4.5000.csv"	5000	"D"	2.38338784647878	64.1513810463795	2604	354	500	136	27.2	"Ancestral structure"
"0.6"	"0.4"	"0.8"	"0.6"	"Alternate_t123-0.8_t23-0.6.Background_t123-0.6_t21-0.4.5000.csv"	5000	"mfD0"	14.2702150539631	16.3387026758052	2604	354	500	135	27	"Ancestral structure"
"0.6"	"0.4"	"1"	"0.6"	"Alternate_t123-1_t23-0.6.Background_t123-0.6_t21-0.4.5000.csv"	5000	"D"	4.82060099063705	65.5921179492701	2652	410	500	186	37.2	"Ancestral structure"
"0.6"	"0.4"	"1"	"0.6"	"Alternate_t123-1_t23-0.6.Background_t123-0.6_t21-0.4.5000.csv"	5000	"mfD0"	15.7177097440781	16.7515006380538	2652	410	500	191	38.2	"Ancestral structure"
"0.6"	"0.4"	"1.2"	"0.6"	"Alternate_t123-1.2_t23-0.6.Background_t123-0.6_t21-0.4.5000.csv"	5000	"D"	6.45125421965941	65.8177891769016	2662	447	500	213	42.6	"Ancestral structure"
"0.6"	"0.4"	"1.2"	"0.6"	"Alternate_t123-1.2_t23-0.6.Background_t123-0.6_t21-0.4.5000.csv"	5000	"mfD0"	16.4588299256161	17.7703760315987	2662	447	500	246	49.2	"Ancestral structure"
"0.6"	"0.4"	"1.4"	"0.6"	"Alternate_t123-1.4_t23-0.6.Background_t123-0.6_t21-0.4.5000.csv"	5000	"D"	8.42525407522741	66.09037932764	2755	478	500	263	52.6	"Ancestral structure"
